ts_iso,forecast_cpu_max,forecast_mem_max,forecast_rr_max,required_units,aws_price_per_vm_usd_h,openstack_price_per_vm_usd_h,aws_total_usd_h,openstack_total_usd_h,chosen_provider,chosen_name,clouda_status,cloudb_status
2026-05-01T16:20:24,0.241981,1.212041,8572.791000,2,0.021600,0.010000,0.043200,0.020000,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-05-01T16:25:54,0.439280,1.078056,8243.098000,2,0.021600,0.010000,0.043200,0.020000,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-05-01T16:35:03,0.718458,1.139596,16551.064000,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T16:47:11,1.123500,0.909364,8184.372000,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T17:11:47,1.445622,0.905333,11946.045000,2,0.021600,0.021800,0.043200,0.043600,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T17:24:24,1.428737,0.933331,11770.053000,2,0.021600,0.021800,0.043200,0.043600,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T17:38:29,1.746741,0.826404,12087.759000,2,0.021600,0.021600,0.043200,0.043200,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T17:47:52,1.711142,1.048409,11085.957000,2,0.021600,0.021600,0.043200,0.043200,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T18:11:17,1.985591,0.841929,25673.297000,2,0.021600,0.051600,0.043200,0.103200,B,CloudB-aws-real,SHUTOFF,ACTIVE
2026-05-01T18:19:34,1.034527,0.932393,15688.344000,2,0.021600,0.010000,0.043200,0.020000,A,CloudA-openstack,ACTIVE,SHUTOFF
