ts_iso,forecast_cpu_max,forecast_mem_max,forecast_rr_max,required_units,aws_price_per_vm_usd_h,openstack_price_per_vm_usd_h,aws_total_usd_h,openstack_total_usd_h,chosen_provider,chosen_name,clouda_status,cloudb_status
2026-04-30T11:52:28,0.294598,0.953973,6747.315400,1,0.021600,0.010000,0.021600,0.010000,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T12:37:45,0.305442,1.042200,12253.187000,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws,SHUTOFF,ACTIVE
2026-04-30T12:43:30,0.658550,0.877063,6480.177200,1,0.021600,0.040000,0.021600,0.040000,B,CloudB-aws,SHUTOFF,ACTIVE
2026-04-30T12:49:33,0.925324,1.049147,9535.770500,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws,SHUTOFF,ACTIVE
2026-04-30T12:56:01,1.423827,0.877981,8529.081000,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws,SHUTOFF,ACTIVE
2026-04-30T13:09:11,1.242254,0.734926,11693.492000,2,0.021600,0.010000,0.043200,0.020000,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T13:38:16,1.551499,0.857551,16438.967000,2,0.021600,0.010000,0.043200,0.020000,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T13:43:49,1.231305,0.997502,10029.184000,2,0.021600,0.021400,0.043200,0.042800,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T13:49:35,1.227416,1.244824,16149.595000,2,0.021600,0.021400,0.043200,0.042800,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T13:55:36,1.300374,0.962280,13981.663000,2,0.021600,0.021600,0.043200,0.043200,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T14:01:27,1.223709,1.076881,22375.465000,2,0.021600,0.021600,0.043200,0.043200,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T14:07:29,2.122980,0.976577,13700.295000,3,0.021600,0.021600,0.064800,0.064800,A,CloudA-openstack,ACTIVE,SHUTOFF
2026-04-30T14:17:53,1.311984,0.960602,23044.492000,2,0.021600,0.040000,0.043200,0.080000,B,CloudB-aws,SHUTOFF,ACTIVE
